Node,Load,Algorithm,Time
H,1800,Algorithm3,128.820969
H,1800,Algorithm3,128.936979
H,1800,Algorithm3,128.659587
H,1800,Algorithm3,128.863425
H,1800,Algorithm3,128.533356
H,1800,Algorithm3,129.455653
H,1800,Algorithm3,129.545635
H,2000,Algorithm1,74.888001
H,2000,Algorithm1,74.278380
H,2000,Algorithm1,74.027359
H,2000,Algorithm1,74.323093
H,2000,Algorithm1,74.191459
H,2000,Algorithm1,73.704815
H,2000,Algorithm1,74.653553
H,2000,Algorithm1,74.149865
H,2000,Algorithm1,74.213872
H,2000,Algorithm1,74.455968
H,2000,Algorithm2,425.810808
H,2000,Algorithm2,424.395212
H,2000,Algorithm2,427.861924
H,2000,Algorithm2,427.002194
H,2000,Algorithm2,426.854936
H,2000,Algorithm2,426.153209
H,2000,Algorithm2,426.068059
H,2000,Algorithm2,425.980087
H,2000,Algorithm2,427.226482
H,2000,Algorithm2,424.938766
H,2000,Algorithm3,186.343949
H,2000,Algorithm3,186.849760
H,2000,Algorithm3,186.151132
H,2000,Algorithm3,186.205187
H,2000,Algorithm3,185.946657
H,2000,Algorithm3,186.790984
H,2000,Algorithm3,186.458622
H,2000,Algorithm3,185.886863
H,2000,Algorithm3,185.910079
H,2000,Algorithm3,186.454385
H,2200,Algorithm1,98.921700
H,2200,Algorithm1,100.179523
H,2200,Algorithm1,100.164934
H,2200,Algorithm1,99.512451
H,2200,Algorithm1,99.777229
H,2200,Algorithm1,99.736214
H,2200,Algorithm1,99.331600
H,2200,Algorithm1,99.126945
H,2200,Algorithm1,99.592520
H,2200,Algorithm1,99.260117
H,2200,Algorithm2,578.534559
H,2200,Algorithm2,580.606584
H,2200,Algorithm2,581.819644
H,2200,Algorithm2,579.681946
H,2200,Algorithm2,578.559025
H,2200,Algorithm2,577.981525
H,2200,Algorithm2,578.068757
H,2200,Algorithm2,578.039188
H,2200,Algorithm2,577.019348
H,2200,Algorithm2,578.802947
H,2200,Algorithm3,249.398749
H,2200,Algorithm3,248.258872
H,2200,Algorithm3,249.215049
H,2200,Algorithm3,248.245056
H,2200,Algorithm3,249.119035
H,2200,Algorithm3,248.399355
H,2200,Algorithm3,248.708149
H,2200,Algorithm3,248.020085
H,2200,Algorithm3,248.691246
H,2200,Algorithm3,249.849122
H,2400,Algorithm1,135.898050
H,2400,Algorithm1,135.659121
H,2400,Algorithm1,135.865994
H,2400,Algorithm1,136.286468
H,2400,Algorithm1,135.948295
H,2400,Algorithm1,137.201589
H,2400,Algorithm1,136.492327
H,2400,Algorithm1,135.881394
H,2400,Algorithm1,135.993134
H,2400,Algorithm1,136.249395
H,2400,Algorithm2,761.172099
H,2400,Algorithm2,763.255468
H,2400,Algorithm2,762.184982
H,2400,Algorithm2,761.020942
H,2400,Algorithm2,761.335305
H,2400,Algorithm2,764.063754
H,2400,Algorithm2,762.000842
H,2400,Algorithm2,760.444584
H,2400,Algorithm2,765.369929
H,2400,Algorithm2,765.540520
H,2400,Algorithm3,320.590813
H,2400,Algorithm3,323.041587
H,2400,Algorithm3,326.190078
H,2400,Algorithm3,322.100464
H,2400,Algorithm3,320.499477
H,2400,Algorithm3,326.235394
H,2400,Algorithm3,322.000481
H,2400,Algorithm3,327.291575
H,2400,Algorithm3,321.222117
H,2400,Algorithm3,323.134099
H,2600,Algorithm1,169.458765
H,2600,Algorithm1,172.112367
H,2600,Algorithm1,170.331091
H,2600,Algorithm1,168.701957
H,2600,Algorithm1,170.502547
H,2600,Algorithm1,171.733362
H,2600,Algorithm1,173.413471
H,2600,Algorithm1,172.190505
H,2600,Algorithm1,169.190372
H,2600,Algorithm1,169.851913
H,2600,Algorithm2,980.976451
H,2600,Algorithm2,984.641841
H,2600,Algorithm2,981.817938
H,2600,Algorithm2,984.106062
H,2600,Algorithm2,985.443729
H,2600,Algorithm2,978.347971
H,2600,Algorithm2,981.685176
H,2600,Algorithm2,982.166640
H,2600,Algorithm2,978.570157
H,2600,Algorithm2,984.393888
H,2600,Algorithm3,408.063971
H,2600,Algorithm3,407.246798
H,2600,Algorithm3,406.745468
H,2600,Algorithm3,408.761499
H,2600,Algorithm3,405.059220
H,2600,Algorithm3,406.208616
H,2600,Algorithm3,408.175697
H,2600,Algorithm3,407.921513
H,2600,Algorithm3,408.044741
H,2600,Algorithm3,410.617390
H,2800,Algorithm1,220.414634
H,2800,Algorithm1,221.239558
H,2800,Algorithm1,221.228468
H,2800,Algorithm1,221.788137
H,2800,Algorithm1,220.372142
H,2800,Algorithm1,219.668675
H,2800,Algorithm1,221.032470
H,2800,Algorithm1,222.186911
H,2800,Algorithm1,220.397270
H,2800,Algorithm1,220.247763
H,2800,Algorithm2,1280.888120
H,2800,Algorithm2,1276.930828
H,2800,Algorithm2,1274.674908
H,2800,Algorithm2,1274.769122
H,2800,Algorithm2,1269.630389
H,2800,Algorithm2,1270.932538
H,2800,Algorithm2,1275.216190
H,2800,Algorithm2,1276.665205
H,2800,Algorithm2,1273.286862
H,2800,Algorithm2,1275.791451
H,2800,Algorithm3,521.961834
H,2800,Algorithm3,522.052492
H,2800,Algorithm3,518.926679
H,2800,Algorithm3,521.631550
H,2800,Algorithm3,518.948598
H,2800,Algorithm3,520.167000
H,2800,Algorithm3,522.899578
H,2800,Algorithm3,519.176947
H,2800,Algorithm3,519.965649
H,2800,Algorithm3,523.787963
H,3000,Algorithm1,273.675237
H,3000,Algorithm1,275.903022
H,3000,Algorithm1,274.576658
H,3000,Algorithm1,272.443569
H,3000,Algorithm1,274.987885
H,3000,Algorithm1,275.043857
H,3000,Algorithm1,274.311381
H,3000,Algorithm1,275.575606
H,3000,Algorithm1,275.048290
H,3000,Algorithm1,275.382698
H,3000,Algorithm2,1591.413299
H,3000,Algorithm2,1591.007094
H,3000,Algorithm2,1593.374102
H,3000,Algorithm2,1587.269392
H,3000,Algorithm2,1592.342770
H,3000,Algorithm2,1595.105615
H,3000,Algorithm2,1594.169261
H,3000,Algorithm2,1591.998137
H,3000,Algorithm2,1583.499533
H,3000,Algorithm2,1593.733537
H,3000,Algorithm3,647.466467
H,3000,Algorithm3,647.114563
H,3000,Algorithm3,647.485679
H,3000,Algorithm3,646.285577
H,3000,Algorithm3,648.675077
H,3000,Algorithm3,648.131850
H,3000,Algorithm3,645.176423
H,3000,Algorithm3,650.878039
H,3000,Algorithm3,644.674637
H,3000,Algorithm3,648.826500
H,100,Algorithm1,0.00468
H,100,Algorithm1,0.00475
H,100,Algorithm1,0.00468
H,100,Algorithm1,0.00475
H,100,Algorithm1,0.00471
H,100,Algorithm1,0.00464
H,100,Algorithm1,0.00477
H,100,Algorithm1,0.00465
H,100,Algorithm1,0.00462
