A 	 1200 	 Algorithm3 	14.351820	
A 	 1200 	 Algorithm3 	12.568276	
A 	 1200 	 Algorithm3 	12.039007	
A 	 1200 	 Algorithm3 	11.764523	
A 	 1200 	 Algorithm3 	11.207826	
A 	 1200 	 Algorithm3 	10.981269	
A 	 1400 	 Algorithm1 	5.619601	
A 	 1400 	 Algorithm1 	5.620166	
A 	 1400 	 Algorithm1 	5.692523	
A 	 1400 	 Algorithm1 	5.616933	
A 	 1400 	 Algorithm1 	5.622007	
A 	 1400 	 Algorithm1 	5.683720	
A 	 1400 	 Algorithm1 	5.683425	
A 	 1400 	 Algorithm1 	5.616655	
A 	 1400 	 Algorithm1 	5.633553	
A 	 1400 	 Algorithm1 	5.601872	
A 	 1400 	 Algorithm2 	39.305136	
A 	 1400 	 Algorithm2 	39.575782	
A 	 1400 	 Algorithm2 	38.198745	
A 	 1400 	 Algorithm2 	38.818662	
A 	 1400 	 Algorithm2 	38.828168	
A 	 1400 	 Algorithm2 	39.218836	
A 	 1400 	 Algorithm2 	39.383207	
A 	 1400 	 Algorithm2 	39.561473	
A 	 1400 	 Algorithm2 	38.297494	
A 	 1400 	 Algorithm2 	38.536743	
A 	 1400 	 Algorithm3 	21.138809	
A 	 1400 	 Algorithm3 	21.097089	
A 	 1400 	 Algorithm3 	21.186463	
A 	 1400 	 Algorithm3 	20.852851	
A 	 1400 	 Algorithm3 	20.782581	
A 	 1400 	 Algorithm3 	20.568944	
A 	 1400 	 Algorithm3 	20.486552	
A 	 1400 	 Algorithm3 	20.570971	
A 	 1400 	 Algorithm3 	20.641510	
A 	 1400 	 Algorithm3 	20.695621	
A 	 1600 	 Algorithm1 	9.991383	
A 	 1600 	 Algorithm1 	10.246225	
A 	 1600 	 Algorithm1 	10.837167	
A 	 1600 	 Algorithm1 	10.206296	
A 	 1600 	 Algorithm1 	10.165469	
A 	 1600 	 Algorithm1 	10.113991	
A 	 1600 	 Algorithm1 	10.108437	
A 	 1600 	 Algorithm1 	9.986720	
A 	 1600 	 Algorithm1 	10.088031	
A 	 1600 	 Algorithm1 	10.093416	
A 	 1600 	 Algorithm2 	65.443910	
A 	 1600 	 Algorithm2 	65.825295	
A 	 1600 	 Algorithm2 	64.861929	
A 	 1600 	 Algorithm2 	64.932380	
A 	 1600 	 Algorithm2 	65.535094	
A 	 1600 	 Algorithm2 	64.814491	
A 	 1600 	 Algorithm2 	66.243625	
A 	 1600 	 Algorithm2 	65.061603	
A 	 1600 	 Algorithm2 	65.055244	
A 	 1600 	 Algorithm2 	65.619026	
A 	 1600 	 Algorithm3 	34.670174	
A 	 1600 	 Algorithm3 	35.458664	
A 	 1600 	 Algorithm3 	34.805727	
A 	 1600 	 Algorithm3 	34.400265	
A 	 1600 	 Algorithm3 	35.318069	
A 	 1600 	 Algorithm3 	34.739800	
A 	 1600 	 Algorithm3 	35.221940	
A 	 1600 	 Algorithm3 	34.860748	
A 	 1600 	 Algorithm3 	35.406413	
A 	 1600 	 Algorithm3 	35.064072	
A 	 1800 	 Algorithm1 	11.939508	
A 	 1800 	 Algorithm1 	12.053967	
A 	 1800 	 Algorithm1 	11.942712	
A 	 1800 	 Algorithm1 	11.909487	
A 	 1800 	 Algorithm1 	11.902492	
A 	 1800 	 Algorithm1 	11.901487	
A 	 1800 	 Algorithm1 	11.885388	
A 	 1800 	 Algorithm1 	11.908606	
A 	 1800 	 Algorithm1 	11.914490	
A 	 1800 	 Algorithm1 	11.934929	
A 	 1800 	 Algorithm2 	84.975999	
A 	 1800 	 Algorithm2 	84.268001	
A 	 1800 	 Algorithm2 	85.969381	
A 	 1800 	 Algorithm2 	84.950640	
A 	 1800 	 Algorithm2 	84.017456	
A 	 1800 	 Algorithm2 	86.081825	
A 	 1800 	 Algorithm2 	85.570959	
A 	 1800 	 Algorithm2 	84.034188	
A 	 1800 	 Algorithm2 	86.423920	
A 	 1800 	 Algorithm2 	85.303261	
A 	 1800 	 Algorithm3 	47.642852	
A 	 1800 	 Algorithm3 	48.138978	
A 	 1800 	 Algorithm3 	48.684161	
A 	 1800 	 Algorithm3 	49.208005	
A 	 1800 	 Algorithm3 	47.610070	
A 	 1800 	 Algorithm3 	48.265855	
A 	 1800 	 Algorithm3 	48.723727	
A 	 1800 	 Algorithm3 	47.373245	
A 	 1800 	 Algorithm3 	48.070707	
A 	 1800 	 Algorithm3 	48.800533	
A 	 2000 	 Algorithm1 	17.967303	
A 	 2000 	 Algorithm1 	18.015660	
A 	 2000 	 Algorithm1 	18.106904	
A 	 2000 	 Algorithm1 	17.998477	
A 	 2000 	 Algorithm1 	18.113980	
A 	 2000 	 Algorithm1 	18.114847	
A 	 2000 	 Algorithm1 	18.255784	
A 	 2000 	 Algorithm1 	18.310833	
A 	 2000 	 Algorithm1 	18.310531	
A 	 2000 	 Algorithm1 	18.207316	
A 	 2000 	 Algorithm2 	120.563119	
A 	 2000 	 Algorithm2 	147.533161	
A 	 2000 	 Algorithm2 	147.506296	
A 	 2000 	 Algorithm2 	146.846046	
A 	 2000 	 Algorithm2 	148.189048	
A 	 2000 	 Algorithm2 	147.102015	
A 	 2000 	 Algorithm2 	145.697850	
A 	 2000 	 Algorithm2 	119.989848	
A 	 2000 	 Algorithm2 	147.033457	
A 	 2000 	 Algorithm2 	147.034518	
A 	 2000 	 Algorithm3 	76.226712	
A 	 2000 	 Algorithm3 	76.765061	
A 	 2000 	 Algorithm3 	76.186652	
A 	 2000 	 Algorithm3 	75.599511	
A 	 2000 	 Algorithm3 	76.506861	
A 	 2000 	 Algorithm3 	75.806377	
A 	 2000 	 Algorithm3 	76.622314	
A 	 2000 	 Algorithm3 	71.982735	
A 	 2000 	 Algorithm3 	66.647736	
A 	 2000 	 Algorithm3 	67.876351	
A 	 2200 	 Algorithm1 	21.839673	
A 	 2200 	 Algorithm1 	21.757524	
A 	 2200 	 Algorithm1 	21.762343	
A 	 2200 	 Algorithm1 	21.764117	
A 	 2200 	 Algorithm1 	21.932935	
A 	 2200 	 Algorithm1 	21.749183	
A 	 2200 	 Algorithm1 	21.871159	
A 	 2200 	 Algorithm1 	21.842280	
A 	 2200 	 Algorithm1 	22.108377	
A 	 2200 	 Algorithm1 	21.839087	
A 	 2200 	 Algorithm2 	164.170850	
A 	 2200 	 Algorithm2 	198.623675	
A 	 2200 	 Algorithm2 	199.644843	
A 	 2200 	 Algorithm2 	199.214700	
A 	 2200 	 Algorithm2 	198.686371	
A 	 2200 	 Algorithm2 	175.177174	
A 	 2200 	 Algorithm2 	164.210167	
A 	 2200 	 Algorithm2 	199.501516	
A 	 2200 	 Algorithm2 	199.715489	
A 	 2200 	 Algorithm2 	197.580555	
A 	 2200 	 Algorithm3 	103.826751	
A 	 2200 	 Algorithm3 	103.554922	
A 	 2200 	 Algorithm3 	97.383363	
A 	 2200 	 Algorithm3 	90.709285	
A 	 2200 	 Algorithm3 	90.839313	
A 	 2200 	 Algorithm3 	90.672174	
A 	 2200 	 Algorithm3 	91.545548	
A 	 2200 	 Algorithm3 	90.999966	
A 	 2200 	 Algorithm3 	89.216594	
A 	 2200 	 Algorithm3 	90.226314	
A 	 2400 	 Algorithm1 	33.689227	
A 	 2400 	 Algorithm1 	34.149067	
A 	 2400 	 Algorithm1 	33.660070	
A 	 2400 	 Algorithm1 	34.149020	
A 	 2400 	 Algorithm1 	34.175060	
A 	 2400 	 Algorithm1 	34.157226	
A 	 2400 	 Algorithm1 	34.365910	
A 	 2400 	 Algorithm1 	34.816214	
A 	 2400 	 Algorithm1 	33.759861	
A 	 2400 	 Algorithm1 	34.613207	
A 	 2400 	 Algorithm2 	216.082836	
A 	 2400 	 Algorithm2 	260.863252	
A 	 2400 	 Algorithm2 	262.621507	
A 	 2400 	 Algorithm2 	263.124497	
A 	 2400 	 Algorithm2 	222.421621	
A 	 2400 	 Algorithm2 	262.479211	
A 	 2400 	 Algorithm2 	262.742531	
A 	 2400 	 Algorithm2 	262.659840	
A 	 2400 	 Algorithm2 	225.731526	
A 	 2400 	 Algorithm2 	260.363088	
A 	 2400 	 Algorithm3 	135.356822	
A 	 2400 	 Algorithm3 	135.738680	
A 	 2400 	 Algorithm3 	135.152713	
A 	 2400 	 Algorithm3 	135.296671	
A 	 2400 	 Algorithm3 	126.162897	
A 	 2400 	 Algorithm3 	118.090991	
A 	 2400 	 Algorithm3 	135.242781	
A 	 2400 	 Algorithm3 	136.030552	
A 	 2400 	 Algorithm3 	136.009251	
A 	 2400 	 Algorithm3 	135.027533	
A 	 2600 	 Algorithm1 	37.068751	
A 	 2600 	 Algorithm1 	37.097003	
A 	 2600 	 Algorithm1 	37.421358	
A 	 2600 	 Algorithm1 	36.873210	
A 	 2600 	 Algorithm1 	37.170878	
A 	 2600 	 Algorithm1 	36.785837	
A 	 2600 	 Algorithm1 	37.149420	
A 	 2600 	 Algorithm1 	37.129282	
A 	 2600 	 Algorithm1 	36.838356	
A 	 2600 	 Algorithm1 	37.013180	
A 	 2600 	 Algorithm2 	286.154223	
A 	 2600 	 Algorithm2 	334.523768	
A 	 2600 	 Algorithm2 	338.375411	
A 	 2600 	 Algorithm2 	302.500922	
A 	 2600 	 Algorithm2 	335.830110	
A 	 2600 	 Algorithm2 	333.036617	
A 	 2600 	 Algorithm2 	320.017756	
A 	 2600 	 Algorithm2 	287.685678	
A 	 2600 	 Algorithm2 	336.148710	
A 	 2600 	 Algorithm2 	335.758053	
A 	 2600 	 Algorithm3 	168.599973	
A 	 2600 	 Algorithm3 	151.362219	
A 	 2600 	 Algorithm3 	174.593364	
A 	 2600 	 Algorithm3 	174.311036	
A 	 2600 	 Algorithm3 	173.953928	
A 	 2600 	 Algorithm3 	173.840940	
A 	 2600 	 Algorithm3 	174.195678	
A 	 2600 	 Algorithm3 	151.677980	
A 	 2600 	 Algorithm3 	173.550407	
A 	 2600 	 Algorithm3 	174.551707	
A 	 2800 	 Algorithm1 	53.417073	
A 	 2800 	 Algorithm1 	53.138932	
A 	 2800 	 Algorithm1 	54.170672	
A 	 2800 	 Algorithm1 	53.314869	
A 	 2800 	 Algorithm1 	53.504797	
A 	 2800 	 Algorithm1 	54.431904	
A 	 2800 	 Algorithm1 	53.109678	
A 	 2800 	 Algorithm1 	52.941265	
A 	 2800 	 Algorithm1 	52.864207	
A 	 2800 	 Algorithm1 	53.648521	
A 	 2800 	 Algorithm2 	357.452151	
A 	 2800 	 Algorithm2 	422.584929	
A 	 2800 	 Algorithm2 	414.270186	
A 	 2800 	 Algorithm2 	359.952229	
A 	 2800 	 Algorithm2 	423.152643	
A 	 2800 	 Algorithm2 	414.161445	
A 	 2800 	 Algorithm2 	360.150205	
A 	 2800 	 Algorithm2 	426.972829	
A 	 2800 	 Algorithm2 	411.264275	
A 	 2800 	 Algorithm2 	357.428043	
A 	 2800 	 Algorithm3 	218.104363	
A 	 2800 	 Algorithm3 	217.905490	
A 	 2800 	 Algorithm3 	218.546151	
A 	 2800 	 Algorithm3 	203.472201	
A 	 2800 	 Algorithm3 	188.828631	
A 	 2800 	 Algorithm3 	218.169457	
A 	 2800 	 Algorithm3 	218.125119	
A 	 2800 	 Algorithm3 	219.620057	
A 	 2800 	 Algorithm3 	217.816172	
A 	 2800 	 Algorithm3 	188.916509	
A 	 3000 	 Algorithm1 	60.318403	
A 	 3000 	 Algorithm1 	60.565814	
A 	 3000 	 Algorithm1 	60.754331	
A 	 3000 	 Algorithm1 	60.822014	
A 	 3000 	 Algorithm1 	60.343664	
A 	 3000 	 Algorithm1 	60.171517	
A 	 3000 	 Algorithm1 	60.626540	
A 	 3000 	 Algorithm1 	60.825509	
A 	 3000 	 Algorithm1 	60.379565	
A 	 3000 	 Algorithm1 	60.062666	
A 	 3000 	 Algorithm2 	480.074125	
A 	 3000 	 Algorithm2 	441.028168	
A 	 3000 	 Algorithm2 	523.847282	
A 	 3000 	 Algorithm2 	468.471647	
A 	 3000 	 Algorithm2 	523.531739	
A 	 3000 	 Algorithm2 	494.972471	
A 	 3000 	 Algorithm2 	445.755402	
A 	 3000 	 Algorithm2 	520.442853	
A 	 3000 	 Algorithm2 	470.228406	
A 	 3000 	 Algorithm2 	521.670500	
A 	 3000 	 Algorithm3 	270.992036	
A 	 3000 	 Algorithm3 	236.315596	
A 	 3000 	 Algorithm3 	271.051127	
A 	 3000 	 Algorithm3 	269.787083	
A 	 3000 	 Algorithm3 	272.168506	
A 	 3000 	 Algorithm3 	233.467336	
A 	 3000 	 Algorithm3 	270.456437	
A 	 3000 	 Algorithm3 	270.354348	
A 	 3000 	 Algorithm3 	272.127826	
A 	 3000 	 Algorithm3 	233.227243	
A	100	Algorithm1	0.002059
A	100	Algorithm1	0.002075
A	100	Algorithm1	0.002069
A	100	Algorithm1	0.002051
A	100	Algorithm1	0.002065
A	100	Algorithm1	0.002068
A	100	Algorithm1	0.002062
A	100	Algorithm1	0.002088
A	100	Algorithm1	0.002087
A	100	Algorithm1	0.002052
A	100	Algorithm1	0.002074
A	100	Algorithm1	0.002078
A	100	Algorithm1	0.002058
A	100	Algorithm1	0.002086
A	100	Algorithm1	0.002066
A	100	Algorithm1	0.002084
A	100	Algorithm1	0.002056
A	100	Algorithm1	0.002072
A	100	Algorithm1	0.002072
A	100	Algorithm1	0.002052
A	100	Algorithm2	0.009518
A	100	Algorithm2	0.009450
A	100	Algorithm2	0.009494
A	100	Algorithm2	0.009396
A	100	Algorithm2	0.009587
A	100	Algorithm2	0.009490
A	100	Algorithm2	0.009448
A	100	Algorithm2	0.009532
A	100	Algorithm2	0.009480
A	100	Algorithm2	0.009513
A	100	Algorithm2	0.009527
A	100	Algorithm2	0.009385
A	100	Algorithm2	0.009390
A	100	Algorithm2	0.009518
A	100	Algorithm2	0.009510
A	100	Algorithm2	0.009397
A	100	Algorithm2	0.009599
A	100	Algorithm2	0.009462
A	100	Algorithm2	0.009450
A	100	Algorithm2	0.009500
A	100	Algorithm3	0.003369
A	100	Algorithm3	0.003374
A	100	Algorithm3	0.003358
A	100	Algorithm3	0.003582
A	100	Algorithm3	0.003537
A	100	Algorithm3	0.003508
A	100	Algorithm3	0.003520
A	100	Algorithm3	0.003576
A	100	Algorithm3	0.003445
A	100	Algorithm3	0.003564
A	100	Algorithm3	0.003339
A	100	Algorithm3	0.003435
A	100	Algorithm3	0.003341
A	100	Algorithm3	0.003457
A	100	Algorithm3	0.003463
A	100	Algorithm3	0.003441
A	100	Algorithm3	0.003409
A	100	Algorithm3	0.003354
A	100	Algorithm3	0.003457
A	100	Algorithm3	0.003553
A	1000	Algorithm1	2.038159
A	1000	Algorithm1	2.053452
A	1000	Algorithm1	2.046726
A	1000	Algorithm1	2.047942
A	1000	Algorithm1	2.061203
A	1000	Algorithm1	2.039429
A	1000	Algorithm1	2.041145
A	1000	Algorithm1	2.057185
A	1000	Algorithm1	2.051650
A	1000	Algorithm1	2.057801
A	1000	Algorithm1	2.049340
A	1000	Algorithm1	2.058554
A	1000	Algorithm1	2.043485
A	1000	Algorithm1	2.058879
A	1000	Algorithm1	2.061886
A	1000	Algorithm1	2.041606
A	1000	Algorithm1	2.060017
A	1000	Algorithm1	2.044938
A	1000	Algorithm1	2.040919
A	1000	Algorithm1	2.054614
A	1000	Algorithm2	12.693660
A	1000	Algorithm2	12.810028
A	1000	Algorithm2	12.690668
A	1000	Algorithm2	12.819211
A	1000	Algorithm2	12.740291
A	1000	Algorithm2	12.717194
A	1000	Algorithm2	12.773176
A	1000	Algorithm2	12.842294
A	1000	Algorithm2	12.650446
A	1000	Algorithm2	12.793679
A	1000	Algorithm2	12.765489
A	1000	Algorithm2	12.818730
A	1000	Algorithm2	12.655523
A	1000	Algorithm2	12.765707
A	1000	Algorithm2	12.799269
A	1000	Algorithm2	12.667057
A	1000	Algorithm2	12.671003
A	1000	Algorithm2	12.653553
A	1000	Algorithm2	12.764642
A	1000	Algorithm2	12.818760
A	1000	Algorithm3	5.443830
A	1000	Algorithm3	5.446410
A	1000	Algorithm3	5.490149
A	1000	Algorithm3	5.494027
A	1000	Algorithm3	5.485711
A	1000	Algorithm3	5.397580
A	1000	Algorithm3	5.493417
A	1000	Algorithm3	5.496710
A	1000	Algorithm3	5.491503
A	1000	Algorithm3	5.417680
A	1000	Algorithm3	5.387111
A	1000	Algorithm3	5.382526
A	1000	Algorithm3	5.387776
A	1000	Algorithm3	5.465434
A	1000	Algorithm3	5.401243
A	1000	Algorithm3	5.439127
A	1000	Algorithm3	5.435858
A	1000	Algorithm3	5.439035
A	1000	Algorithm3	5.490924
A	1000	Algorithm3	5.507301
A	1200	Algorithm1	3.520096
A	1200	Algorithm1	3.572325
A	1200	Algorithm1	3.504097
A	1200	Algorithm1	3.528837
A	1200	Algorithm1	3.523678
A	1200	Algorithm1	3.562825
A	1200	Algorithm1	3.504579
A	1200	Algorithm1	3.589619
A	1200	Algorithm1	3.498722
A	1200	Algorithm1	3.539131
A	1200	Algorithm1	3.506727
A	1200	Algorithm1	3.546687
A	1200	Algorithm1	3.506552
A	1200	Algorithm1	3.551636
A	1200	Algorithm1	3.533072
A	1200	Algorithm1	3.504500
A	1200	Algorithm1	3.558849
A	1200	Algorithm1	3.578974
A	1200	Algorithm1	3.517015
A	1200	Algorithm1	3.529783
A	1200	Algorithm2	25.769821
A	1200	Algorithm2	26.693928
A	1200	Algorithm2	26.739700
A	1200	Algorithm2	24.284022
A	1200	Algorithm2	23.999769
A	1200	Algorithm2	26.522428
A	1200	Algorithm2	25.539817
A	1200	Algorithm2	24.786251
A	1200	Algorithm2	24.019497
A	1200	Algorithm2	24.809267
A	1200	Algorithm2	26.408295
A	1200	Algorithm2	25.045089
A	1200	Algorithm2	27.019699
A	1200	Algorithm2	23.858494
A	1200	Algorithm2	25.412350
A	1200	Algorithm2	23.835383
A	1200	Algorithm2	25.503455
A	1200	Algorithm2	23.469561
A	1200	Algorithm2	22.913707
A	1200	Algorithm2	23.988936
A	1200	Algorithm3	14.581690
A	1200	Algorithm3	13.688419
A	1200	Algorithm3	13.010761
A	1200	Algorithm3	12.492335
A	1200	Algorithm3	13.091048
A	1200	Algorithm3	13.432698
A	1200	Algorithm3	12.710442
A	1200	Algorithm3	13.980422
A	1200	Algorithm3	11.750576
A	1200	Algorithm3	11.194094
A	1200	Algorithm3	13.783124
